Date,Sales
01-04-2001,9683
01-05-2001,11831
01-06-2001,13823
01-07-2001,12249
01-08-2001,14423
01-09-2001,15358
01-10-2001,14897
01-11-2001,14726
01-12-2001,13406
01-01-2002,19325
01-02-2002,18342
01-03-2002,25402
01-04-2002,9970
01-05-2002,13066
01-06-2002,17733
01-07-2002,18107
01-08-2002,18113
01-09-2002,18885
01-10-2002,19294
01-11-2002,16148
01-12-2002,15695
01-01-2003,24116
01-02-2003,21176
01-03-2003,27558
01-04-2003,15821
01-05-2003,21928
01-06-2003,22643
01-07-2003,24993
01-08-2003,24827
01-09-2003,28304
01-10-2003,26860
01-11-2003,25265
01-12-2003,26254
01-01-2004,31839
01-02-2004,30800
01-03-2004,34714
01-04-2004,24961
01-05-2004,29774
01-06-2004,30183
01-07-2004,30057
01-08-2004,30113
01-09-2004,35406
01-10-2004,35283
01-11-2004,31428
01-12-2004,31951
01-01-2005,39000
01-02-2005,36977
01-03-2005,44432
01-04-2005,23889
01-05-2005,30593
01-06-2005,33017
01-07-2005,31173
01-08-2005,36206
01-09-2005,39707
01-10-2005,41338
01-11-2005,34282
01-12-2005,35598
01-01-2006,46635
01-02-2006,45113
01-03-2006,56406
01-04-2006,36082
01-05-2006,44357
01-06-2006,45223
01-07-2006,45056
01-08-2006,45681
01-09-2006,49157
01-10-2006,43770
01-11-2006,49061
01-12-2006,48792
01-01-2007,55440
01-02-2007,53707
01-03-2007,62779
01-04-2007,40486
01-05-2007,42558
01-06-2007,44317
01-07-2007,42098
01-08-2007,45144
01-09-2007,48347
01-10-2007,49354
01-11-2007,46947
01-12-2007,47678
01-01-2008,54796
01-02-2008,54181
01-03-2008,66495
01-04-2008,38149
01-05-2008,46339
01-06-2008,47245
01-07-2008,40729
01-08-2008,43576
01-09-2008,49647
01-10-2008,39729
01-11-2008,32696
01-12-2008,25219
01-01-2009,36931
01-02-2009,43811
01-03-2009,54076
01-04-2009,37518
01-05-2009,40196
01-06-2009,45399
01-07-2009,48054
01-08-2009,49810
01-09-2009,52513
01-10-2009,53404
01-11-2009,54108
01-12-2009,51627
01-01-2010,65478
01-02-2010,69427
01-03-2010,75151
01-04-2010,57202
01-05-2010,56777
01-06-2010,67730
01-07-2010,67799
01-08-2010,65938
01-09-2010,64668
01-10-2010,64757
01-11-2010,54622
01-12-2010,67494
01-01-2011,75423
01-02-2011,77543
01-03-2011,83363
01-04-2011,64383
01-05-2011,62105
01-06-2011,66360
01-07-2011,63761
01-08-2011,64078
01-09-2011,78783
01-10-2011,68008
01-11-2011,76823
01-12-2011,82279
01-01-2012,87467
01-02-2012,92119
01-03-2012,100414
01-04-2012,60086
01-05-2012,64347
01-06-2012,64341
01-07-2012,73491
01-08-2012,71826
01-09-2012,75773
01-10-2012,71770
01-11-2012,66500
01-12-2012,65582
01-01-2013,66500
01-02-2013,66500
01-03-2013,72712
01-04-2013,51160
01-05-2013,49304
01-06-2013,52708
01-07-2013,51468
01-08-2013,49611
01-09-2013,50387
01-10-2013,51638
01-11-2013,40863
01-12-2013,37836
01-01-2014,40863
01-02-2014,40863
01-03-2014,51184
01-04-2014,33892
01-05-2014,37525
01-06-2014,38557
01-07-2014,39619
01-08-2014,40883
01-09-2014,46119
01-10-2014,42819
01-11-2014,41720
01-12-2014,41734
01-01-2015,42582
01-02-2015,44209
01-03-2015,52479
01-04-2015,36145
01-05-2015,39496
01-06-2015,40869
01-07-2015,40154
01-08-2015,40690
01-09-2015,45215
01-10-2015,43486
01-11-2015,38918
01-12-2015,39973
01-01-2016,47035
01-02-2016,46674
01-03-2016,53057
01-04-2016,39382
01-05-2016,40071
01-06-2016,44276
01-07-2016,43160
01-08-2016,43061
01-09-2016,43061
01-10-2016,52813
01-11-2016,38900
01-12-2016,40944
01-01-2017,46349
01-02-2017,47574
01-03-2017,57145
01-04-2017,30972
01-05-2017,38361
01-06-2017,40358
01-07-2017,46216
01-08-2017,48988
01-09-2017,48988
01-10-2017,53197
01-11-2017,57391
01-12-2017,60920
01-01-2018,64624
01-02-2018,63761
01-03-2018,76153
01-04-2018,56521
01-05-2018,57994
01-06-2018,62019
01-07-2018,56867
01-08-2018,63757
01-09-2018,69991
01-10-2018,62264
01-11-2018,55074
01-12-2018,54439
01-01-2019,58185
01-02-2019,60151
01-03-2019,74679
01-04-2019,43979
01-05-2019,41792
01-06-2019,51774
01-07-2019,36312
01-08-2019,32343
01-09-2019,36376
01-10-2019,41354
01-11-2019,41124
01-12-2019,46903
01-01-2020,47862
01-02-2020,40634
01-03-2020,12924
01-04-2020,0
01-05-2020,1488
01-06-2020,8824
01-07-2020,12688
01-08-2020,17889
01-09-2020,24876
01-10-2020,28472
01-11-2020,27982
01-12-2020,32869
01-01-2021,32816
01-02-2021,33859
01-03-2021,40462
01-04-2021,16644
01-05-2021,11401
01-06-2021,22100
01-07-2021,23848
01-08-2021,29781
01-09-2021,33258
01-10-2021,33674
01-11-2021,32245
01-12-2021,34151
01-01-2022,35268
01-02-2022,37552
01-03-2022,47050
